Emp ID,First Name,Middle Initial,Last Name,Gender,E Mail,Date of Birth,Date of Joining,Salary,Last % Hike,Place Name,County,City,State,Zip,Region
726264,Carl,N,Collins,M,carl.collins@yahoo.com,12/22/1973,6/9/2007,162159,7%,Wright,Jefferson,Wright,AR,72182,South
766610,Joyce,E,Jenkins,F,joyce.jenkins@aol.com,8/22/1961,5/14/2010,119321,13%,Ellsworth,Pierce,Ellsworth,WI,54011,Midwest
923947,Mary,G,Bryant,F,mary.bryant@verizon.net,6/21/1962,5/20/2004,155442,4%,Conroy,Iowa,Conroy,IA,52220,Midwest
227922,Amanda,M,Hughes,F,amanda.hughes@rediffmail.com,7/29/1982,4/19/2007,114257,22%,Lake Charles,Calcasieu,Lake Charles,LA,70605,South
265813,Jack,E,Campbell,M,jack.campbell@gmail.com,1/4/1985,7/29/2007,186280,23%,Kalvesta,Kalvesta,Kalvesta,KS,67856,Midwest
247137,Alan,E,Rivera,M,alan.rivera@apple.com,12/11/1978,6/7/2006,154810,12%,Knoxville,Knox,Knoxville,TN,37901,South
407061,Elizabeth,Q,Jackson,F,elizabeth.jackson@aol.com,8/15/1964,1/19/2005,85420,24%,Rochester,Strafford,Rochester,NH,3867,Northeast
226714,Nancy,L,Davis,F,nancy.davis@ibm.com,11/14/1983,8/25/2012,94986,11%,Bowling Green,Clay,Bowling Green,IN,47833,Midwest
702813,Ernest,D,Martinez,M,ernest.martinez@gmail.com,11/9/1989,1/24/2016,172098,8%,Uniontown,Crawford,Uniontown,AR,72955,South
524896,Judy,Y,Hernandez,F,judy.hernandez@gmail.com,3/25/1961,12/27/2011,133332,30%,Topeka,Shawnee,Topeka,KS,66606,Midwest
363065,Nancy,L,Jones,F,nancy.jones@gmail.com,11/10/1993,10/16/2015,61924,4%,New York City,New York,New York City,NY,10087,Northeast
879753,Pamela,X,Wright,F,pamela.wright@aol.com,4/14/1996,6/9/2017,149262,9%,Banner,Sheridan,Banner,WY,82832,West
958326,Larry,T,Miller,M,larry.miller@shell.com,10/31/1988,2/22/2017,97904,20%,East Saint Louis,St. Clair,East Saint Louis,IL,62201,Midwest
447813,Ann,Q,Coleman,F,ann.coleman@ibm.com,5/11/1989,11/19/2013,130014,12%,Hancock,Pottawattamie,Hancock,IA,51536,Midwest
525955,Judy,C,Gonzales,F,judy.gonzales@gmail.com,6/17/1959,1/3/1992,149575,9%,Eatontown,Monmouth,Eatontown,NJ,7724,Northeast
818384,Peter,X,Washington,M,peter.washington@bp.com,11/6/1982,11/29/2009,173226,27%,Portage,Kalamazoo,Portage,MI,49024,Midwest
971640,Clarence,A,Ross,M,clarence.ross@apple.com,12/13/1960,12/31/2008,165272,9%,Oneida,Scott,Oneida,TN,37841,South
253573,Sharon,E,Lopez,F,sharon.lopez@gmail.com,5/4/1991,3/7/2014,190139,21%,Bartley,McDowell,Bartley,WV,24813,South
904898,Ann,Q,Cooper,F,ann.cooper@exxonmobil.com,12/25/1992,2/15/2017,182521,30%,Arlee,Lake,Arlee,MT,59821,West
515103,Anne,A,Perez,F,anne.perez@sbcglobal.net,5/5/1958,7/28/2003,114426,9%,Cookeville,Putnam,Cookeville,TN,38505,South
491943,Nancy,P,Howard,F,nancy.howard@gmail.com,5/5/1961,2/6/1999,101553,25%,Saxe,Charlotte,Saxe,VA,23967,South
750173,Antonio,R,Roberts,M,antonio.roberts@hotmail.com,8/27/1995,5/1/2017,181646,30%,Mc Calla,Jefferson,Mc Calla,AL,35111,South
687017,Frances,P,Watson,F,frances.watson@outlook.com,1/30/1961,8/20/2010,46945,22%,Trego,Lincoln,Trego,MT,59934,West
241882,Debra,G,Wood,F,debra.wood@hotmail.com,10/30/1969,1/10/1991,84318,19%,Blair,Washington,Blair,NE,68009,Midwest
758872,Henry,Y,Jenkins,M,henry.jenkins@hotmail.com,11/6/1984,6/21/2017,102384,11%,Riverside,Platte,Riverside,MO,64150,Midwest
940922,Melissa,X,Butler,F,melissa.butler@hotmail.com,11/14/1994,2/5/2017,167631,30%,Maxwell,Lincoln,Maxwell,NE,69151,Midwest
917937,Todd,H,Hall,M,todd.hall@yahoo.com,8/31/1991,5/8/2016,163560,0%,Randallstown,Baltimore,Randallstown,MD,21133,South
917395,Christopher,D,Nelson,M,christopher.nelson@aol.com,3/29/1960,11/8/1997,190765,0%,Willow Beach,Mohave,Willow Beach,AZ,86445,West
183071,Andrea,P,Garcia,F,andrea.garcia@aol.com,7/6/1985,4/18/2010,54179,25%,Granger,St. Joseph,Granger,IN,46530,Midwest
316110,Jeremy,I,Sanchez,M,jeremy.sanchez@hotmail.com,2/5/1965,4/2/2006,178847,1%,Alcoa,Blount,Alcoa,TN,37701,South
293459,Steven,J,Phillips,M,steven.phillips@hotmail.com,9/12/1986,3/27/2015,90108,24%,Baton Rouge,East Baton Rouge,Baton Rouge,LA,70833,South
732017,Cynthia,J,Ramirez,F,cynthia.ramirez@btinternet.com,9/22/1982,2/18/2009,90531,2%,Browning,Glacier,Browning,MT,59417,West
915638,Jason,W,Anderson,M,jason.anderson@gmail.com,1/3/1974,9/21/1999,76636,19%,Hudson,McLean,Hudson,IL,61748,Midwest
478003,Cynthia,X,White,F,cynthia.white@gmail.com,6/15/1963,3/4/2004,186200,30%,Kansas City,Jackson,Kansas City,MO,64133,Midwest
951225,Margaret,N,Brooks,F,margaret.brooks@gmail.com,6/27/1992,8/26/2016,43867,9%,Haswell,Kiowa,Haswell,CO,81045,West
883936,Douglas,I,Flores,M,douglas.flores@gmail.com,4/21/1986,9/10/2009,181793,20%,Eckert,Delta,Eckert,CO,81418,West
528673,Paul,V,Watson,M,paul.watson@hotmail.com,3/9/1959,6/26/1995,145235,15%,Blue River,Floyd,Blue River,KY,41607,South
765850,Linda,R,Moore,F,linda.moore@gmail.com,8/18/1991,5/15/2017,113256,18%,Albion,Erie,Albion,PA,16401,Northeast
262382,Cheryl,O,Miller,F,cheryl.miller@ntlworld.com,4/20/1985,7/30/2007,64143,3%,Bays,Breathitt,Bays,KY,41310,South
870820,Martha,G,Washington,F,martha.washington@aol.com,3/28/1991,3/3/2017,116629,25%,Nardin,Kay,Nardin,OK,74646,South
806955,William,G,Hernandez,M,william.hernandez@rediffmail.com,7/22/1967,3/21/2000,73734,22%,Mary Esther,Okaloosa,Mary Esther,FL,32569,South
325319,Carolyn,F,Price,F,carolyn.price@yahoo.com,5/30/1976,11/5/2014,48736,2%,Wheaton,DuPage,Wheaton,IL,60189,Midwest
623253,Ruby,Q,Stewart,F,ruby.stewart@gmail.com,10/23/1968,7/2/2017,174774,7%,Margie,Koochiching,Margie,MN,56658,Midwest
225925,Paul,D,Cooper,M,paul.cooper@gmail.com,8/12/1991,9/8/2014,73526,27%,Glidden,Colorado,Glidden,TX,78943,South
761821,Ernest,G,Washington,M,ernest.washington@msn.com,10/28/1984,1/31/2015,176675,15%,Saranac Lake,Franklin,Saranac Lake,NY,12983,Northeast
400173,Dorothy,K,Edwards,F,dorothy.edwards@hotmail.co.uk,1/19/1984,12/31/2013,179017,1%,Philadelphia,Philadelphia,Philadelphia,PA,19132,Northeast
802554,Ryan,V,Alexander,M,ryan.alexander@shell.com,8/1/1993,8/31/2014,106628,24%,Jarreau,Pointe Coupee,Jarreau,LA,70749,South
476433,Lillian,N,Mitchell,F,lillian.mitchell@shaw.ca,10/23/1974,12/7/1999,149878,3%,Wichita,Sedgwick,Wichita,KS,67214,Midwest
533952,Kelly,R,Adams,F,kelly.adams@bp.com,5/23/1975,7/4/2013,51878,15%,Meno,Major,Meno,OK,73760,South
623929,Jimmy,R,Howard,M,jimmy.howard@yahoo.com,11/27/1966,12/12/2007,120631,13%,Oriskany,Oneida,Oriskany,NY,13424,Northeast
844177,Margaret,T,Allen,F,margaret.allen@gmail.com,9/8/1981,5/17/2013,180107,22%,Richmond Dale,Ross,Richmond Dale,OH,45673,Midwest
212893,Janet,Y,Henderson,F,janet.henderson@ntlworld.com,12/24/1979,12/18/2012,114481,5%,Miami,Miami-Dade,Miami,FL,33166,South
185032,Eugene,D,Perez,M,eugene.perez@exxonmobil.com,10/6/1979,12/8/2014,122950,26%,Racine,Racine,Racine,WI,53490,Midwest
867084,Deborah,E,Smith,F,deborah.smith@yahoo.com,10/31/1977,3/4/2002,52767,28%,Atqasuk,North Slope,Atqasuk,AK,99791,West
969964,Janice,S,Parker,F,janice.parker@yahoo.com,1/12/1980,8/23/2016,147641,25%,Whiteman Air Force Base,Johnson,Whiteman Air Force Base,MO,65305,Midwest
158666,Rebecca,A,Stewart,F,rebecca.stewart@gmail.com,8/11/1961,4/10/1983,160043,9%,Independence,Inyo,Independence,CA,93526,West
489424,Phillip,F,White,M,phillip.white@gmail.com,3/4/1978,1/5/2016,181774,7%,Mapleton,Lane,Mapleton,OR,97453,West
639892,Jose,K,Hill,M,jose.hill@hotmail.com,10/8/1994,7/9/2016,129774,15%,Biloxi,Harrison,Biloxi,MS,39532,South
704709,Harold,Z,Nelson,M,harold.nelson@gmail.com,12/24/1984,8/23/2011,156194,0%,Carol Stream,Carol Stream,Carol Stream,IL,60351,Midwest
461593,Nicole,O,Ward,F,nicole.ward@yahoo.com,12/12/1964,1/23/1989,95673,12%,Detroit,Wayne,Detroit,MI,48278,Midwest
392491,Theresa,R,Murphy,F,theresa.murphy@gmail.com,12/30/1987,8/3/2010,51015,11%,Mc Grath,Yukon-Koyukuk (CA),Mc Grath,AK,99627,West
495141,Tammy,B,Young,F,tammy.young@comcast.net,3/22/1979,4/25/2015,93650,7%,Alma,Gratiot,Alma,MI,48801,Midwest
